    runtime_frac  cross_acc  true_acc         diff
0       0.003883   0.946904  0.798545  1107.278882
1       0.013908   0.990044  0.869662   205.743664
2       0.023933   0.998076  0.892748    53.227758
3       0.033958   0.998305  0.907441    29.247882
4       0.043983   0.998470  0.910195    43.619481
5       0.054008   0.998454  0.918517    26.917989
6       0.064033   0.998120  0.912157    18.539914
7       0.074058   0.998669  0.918085    16.354124
8       0.084083   0.997900  0.928058    20.765297
9       0.094108   0.998751  0.922084    17.915627
10      0.104133   0.998342  0.926278    13.806389
11      0.114157   0.998684  0.924092    14.557790
12      0.124182   0.998361  0.918192    14.245488
13      0.134207   0.998399  0.920135    15.132290
14      0.144232   0.998377  0.918935    16.388015
15      0.154257   0.998029  0.914293    15.498606
16      0.164282   0.998564  0.916170    14.565265
17      0.174307   0.998666  0.919098    15.620433
18      0.184332   0.999149  0.921861    14.663285
19      0.194357   0.998041  0.925225    14.611579
20      0.204382   0.997814  0.925193    15.807823
21      0.214407   0.998151  0.927814    13.376423
22      0.224432   0.998457  0.932540    13.623647
23      0.234457   0.998192  0.933464    13.476700
24      0.244482   0.998819  0.933996    13.625260
25      0.254507   0.997890  0.939055    13.588869
26      0.264532   0.998482  0.939808    14.142623
27      0.274556   0.998450  0.938278    12.663374
28      0.284581   0.998377  0.939407    12.492898
29      0.294606   0.998581  0.937048    12.629031
30      0.304631   0.998528  0.937385    12.758004
31      0.314656   0.998745  0.939282    12.320271
32      0.324681   0.998393  0.941404    12.400778
33      0.334706   0.999102  0.938395    12.068576
34      0.344731   0.998935  0.942943    12.380631
35      0.354756   0.998770  0.938057    11.023899
36      0.364781   0.998890  0.938996    11.460206
37      0.374806   0.998869  0.940828    11.623811
38      0.384831   0.998439  0.937755    11.880350
39      0.394856   0.998730  0.936508    11.605894
40      0.404881   0.998062  0.934451    12.117392
41      0.414906   0.998619  0.938707    12.882378
42      0.424931   0.998468  0.941175    12.320478
43      0.434955   0.998171  0.943593    12.443972
44      0.444980   0.998568  0.942164    12.466387
45      0.455005   0.998287  0.942140    12.633706
46      0.465030   0.998054  0.942839    12.771955
47      0.475055   0.998820  0.946588    13.689351
48      0.485080   0.998232  0.949666    14.898770
49      0.495105   0.998753  0.948785    15.516750
50      0.505130   0.998576  0.949735    16.250766
51      0.515155   0.998828  0.947681    17.452284
52      0.525180   0.998983  0.944476    19.535687
53      0.535205   0.998727  0.948311    21.314809
54      0.545230   0.997883  0.949631    24.537262
55      0.555255   0.997409  0.945393    27.043037
56      0.565280   0.997438  0.950393    31.395548
57      0.575305   0.996277  0.951736    33.502960
58      0.585330   0.995475  0.951092    34.978117
59      0.595355   0.995570  0.953135    38.043794
60      0.605379   0.995422  0.957713    39.303087
61      0.615404   0.994500  0.961114    40.415582
62      0.625429   0.993775  0.965040    40.933046
63      0.635454   0.994260  0.962857    39.300999
64      0.645479   0.994611  0.966593    37.099037
65      0.655504   0.994993  0.974868    38.846655
66      0.665529   0.994800  0.974803    37.631903
67      0.675554   0.995910  0.970195    37.777273
68      0.685579   0.994752  0.969577    35.420194
69      0.695604   0.995484  0.971225    34.293951
70      0.705629   0.995688  0.970926    33.992639
71      0.715654   0.996707  0.974294    32.379969
72      0.725679   0.996462  0.977435    31.377135
73      0.735704   0.997297  0.974978    29.779850
74      0.745729   0.996798  0.976152    28.148284
75      0.755754   0.997600  0.977328    27.725378
76      0.765778   0.997725  0.979492    26.954677
77      0.775803   0.997779  0.984685    26.231248
78      0.785828   0.997927  0.984512    24.936160
79      0.795853   0.998116  0.984477    26.411592
80      0.805878   0.998037  0.984680    25.688199
81      0.815903   0.998299  0.986772    24.498451
82      0.825928   0.998484  0.985700    23.712384
83      0.835953   0.998723  0.984127    22.395922
84      0.845978   0.999114  0.985506    21.731226
85      0.856003   0.998915  0.986772    20.144639
86      0.866028   0.998934  0.987280    19.232118
87      0.876053   0.999115  0.990741    19.017473
88      0.886078   0.999620  0.990741    18.728760
89      0.896103   0.999623  0.992063    18.330935
90      0.906128   0.999730  0.992063    17.649364
91      0.916153   0.999262  0.992063    17.681213
92      0.926177   0.999714  0.989418    17.144595
93      0.936202   0.999640  0.996581    16.491134
94      0.946227   0.999890  0.997354    15.150642
95      0.956252   0.999852  0.999155    14.465894
96      0.966277   0.999817  1.000000    14.426050
97      0.976302   0.999898  1.000000    13.147215
98      0.986327   0.999870  1.000000    11.405479
99      0.996352   1.000000  1.000000    10.470254
