avg_timeout_results
None
avg_selection_results
     runtime_frac  cross_acc  true_acc  diff
0    1.273056e-08   0.743994  0.737572   0.0
1    2.004021e-03   0.818650  0.816302   0.0
2    4.008028e-03   0.829069  0.831089   0.0
3    6.012036e-03   0.835026  0.830733   0.0
4    8.016044e-03   0.839869  0.841210   0.0
5    1.002005e-02   0.845472  0.843767   0.0
6    1.202406e-02   0.848606  0.851581   0.0
7    1.402807e-02   0.848302  0.853427   0.0
8    1.603208e-02   0.853139  0.853643   0.0
9    1.803608e-02   0.859621  0.851688   0.0
10   2.004009e-02   0.866543  0.853335   0.0
11   2.204410e-02   0.870533  0.863891   0.0
12   2.404811e-02   0.872653  0.870424   0.0
13   2.605211e-02   0.877265  0.869992   0.0
14   2.805612e-02   0.879924  0.878830   0.0
15   3.006013e-02   0.884944  0.879532   0.0
16   3.206414e-02   0.890614  0.878622   0.0
17   3.406815e-02   0.898269  0.882680   0.0
18   3.607215e-02   0.901988  0.890464   0.0
19   3.807616e-02   0.903993  0.894410   0.0
20   4.008017e-02   0.904886  0.892924   0.0
21   4.208418e-02   0.903910  0.896150   0.0
22   4.408818e-02   0.904589  0.893796   0.0
23   4.609219e-02   0.903973  0.900663   0.0
24   4.809620e-02   0.904661  0.906738   0.0
25   5.010021e-02   0.906550  0.905731   0.0
26   5.210422e-02   0.905732  0.911702   0.0
27   5.410822e-02   0.904842  0.910468   0.0
28   5.611223e-02   0.906442  0.912669   0.0
29   5.811624e-02   0.906039  0.908945   0.0
30   6.012025e-02   0.907294  0.909822   0.0
31   6.212425e-02   0.909272  0.914084   0.0
32   6.412826e-02   0.909446  0.912210   0.0
33   6.613227e-02   0.911346  0.913373   0.0
34   6.813628e-02   0.915473  0.907024   0.0
35   7.014029e-02   0.916843  0.907489   0.0
36   7.214429e-02   0.918452  0.911609   0.0
37   7.414830e-02   0.919235  0.913701   0.0
38   7.615231e-02   0.920996  0.910944   0.0
39   7.815632e-02   0.921334  0.913132   0.0
40   8.016032e-02   0.923373  0.920595   0.0
41   8.216433e-02   0.925346  0.923403   0.0
42   8.416834e-02   0.928273  0.920378   0.0
43   8.617235e-02   0.929542  0.919367   0.0
44   8.817636e-02   0.932254  0.921958   0.0
45   9.018036e-02   0.934356  0.922059   0.0
46   9.218437e-02   0.934035  0.923669   0.0
47   9.418838e-02   0.935149  0.923124   0.0
48   9.619239e-02   0.936860  0.925659   0.0
49   9.819639e-02   0.937657  0.927930   0.0
50   1.002004e-01   0.937463  0.930920   0.0
51   1.022044e-01   0.936136  0.934186   0.0
52   1.042084e-01   0.936475  0.938322   0.0
53   1.062124e-01   0.937420  0.938259   0.0
54   1.082164e-01   0.938572  0.939283   0.0
55   1.102204e-01   0.939164  0.939124   0.0
56   1.122244e-01   0.939680  0.939614   0.0
57   1.142285e-01   0.940001  0.942316   0.0
58   1.162325e-01   0.939748  0.945316   0.0
59   1.182365e-01   0.940277  0.945221   0.0
60   1.202405e-01   0.941059  0.939514   0.0
61   1.222445e-01   0.942098  0.941496   0.0
62   1.242485e-01   0.942903  0.943948   0.0
63   1.262525e-01   0.944546  0.944198   0.0
64   1.282565e-01   0.946307  0.946781   0.0
65   1.302605e-01   0.947340  0.943340   0.0
66   1.322645e-01   0.948416  0.945436   0.0
67   1.342685e-01   0.949239  0.947533   0.0
68   1.362725e-01   0.949910  0.946279   0.0
69   1.382766e-01   0.950795  0.946400   0.0
70   1.402806e-01   0.951033  0.948410   0.0
71   1.422846e-01   0.953490  0.947626   0.0
72   1.442886e-01   0.953255  0.947946   0.0
73   1.462926e-01   0.954258  0.949430   0.0
74   1.482966e-01   0.954589  0.951071   0.0
75   1.503006e-01   0.954596  0.951058   0.0
76   1.523046e-01   0.954463  0.949433   0.0
77   1.543086e-01   0.954755  0.950609   0.0
78   1.563126e-01   0.954939  0.948560   0.0
79   1.583166e-01   0.956184  0.952662   0.0
80   1.603206e-01   0.956779  0.954595   0.0
81   1.623246e-01   0.956296  0.956648   0.0
82   1.643287e-01   0.955957  0.956128   0.0
83   1.663327e-01   0.956991  0.955740   0.0
84   1.683367e-01   0.957557  0.957696   0.0
85   1.703407e-01   0.957915  0.957988   0.0
86   1.723447e-01   0.957317  0.958893   0.0
87   1.743487e-01   0.957069  0.958482   0.0
88   1.763527e-01   0.957988  0.961476   0.0
89   1.783567e-01   0.958397  0.961272   0.0
90   1.803607e-01   0.958667  0.960503   0.0
91   1.823647e-01   0.959350  0.964451   0.0
92   1.843687e-01   0.960113  0.965243   0.0
93   1.863727e-01   0.959826  0.965184   0.0
94   1.883767e-01   0.960023  0.964286   0.0
95   1.903808e-01   0.960215  0.966110   0.0
96   1.923848e-01   0.960688  0.968987   0.0
97   1.943888e-01   0.961511  0.969383   0.0
98   1.963928e-01   0.962200  0.969464   0.0
