avg_timeout_results
None
avg_selection_results
     runtime_frac  cross_acc  true_acc  diff
0        0.000592   0.415175  0.449888   0.0
1        0.002594   0.635897  0.696719   0.0
2        0.004597   0.714397  0.763446   0.0
3        0.006600   0.757384  0.795272   0.0
4        0.008603   0.778671  0.794331   0.0
5        0.010606   0.799574  0.810052   0.0
6        0.012608   0.811415  0.822224   0.0
7        0.014611   0.818197  0.831318   0.0
8        0.016614   0.819569  0.823497   0.0
9        0.018617   0.825780  0.827030   0.0
10       0.020620   0.827201  0.827941   0.0
11       0.022623   0.832403  0.832185   0.0
12       0.024625   0.830902  0.833094   0.0
13       0.026628   0.835881  0.818654   0.0
14       0.028631   0.841821  0.818857   0.0
15       0.030634   0.843834  0.822536   0.0
16       0.032637   0.846852  0.833159   0.0
17       0.034639   0.851263  0.839178   0.0
18       0.036642   0.856147  0.844843   0.0
19       0.038645   0.857736  0.844166   0.0
20       0.040648   0.861251  0.853430   0.0
21       0.042651   0.866651  0.858907   0.0
22       0.044654   0.869845  0.857867   0.0
23       0.046656   0.871173  0.857242   0.0
24       0.048659   0.873272  0.851885   0.0
25       0.050662   0.876498  0.853049   0.0
26       0.052665   0.877030  0.860358   0.0
27       0.054668   0.877374  0.872924   0.0
28       0.056671   0.878776  0.880044   0.0
29       0.058673   0.880527  0.889111   0.0
30       0.060676   0.884091  0.887841   0.0
31       0.062679   0.883231  0.893031   0.0
32       0.064682   0.883552  0.899549   0.0
33       0.066685   0.885809  0.902515   0.0
34       0.068687   0.889120  0.902504   0.0
35       0.070690   0.891570  0.908039   0.0
36       0.072693   0.892379  0.907318   0.0
37       0.074696   0.891254  0.908915   0.0
38       0.076699   0.892501  0.906048   0.0
39       0.078702   0.892506  0.909462   0.0
40       0.080704   0.892491  0.906806   0.0
41       0.082707   0.894535  0.906385   0.0
42       0.084710   0.896354  0.905276   0.0
43       0.086713   0.899137  0.916161   0.0
44       0.088716   0.899006  0.913497   0.0
45       0.090719   0.901558  0.915468   0.0
46       0.092721   0.903496  0.919940   0.0
47       0.094724   0.904268  0.922509   0.0
48       0.096727   0.904801  0.923432   0.0
49       0.098730   0.904971  0.923818   0.0
50       0.100733   0.905520  0.926015   0.0
51       0.102735   0.908593  0.926562   0.0
52       0.104738   0.909179  0.923234   0.0
53       0.106741   0.912339  0.921959   0.0
54       0.108744   0.913106  0.923161   0.0
55       0.110747   0.913399  0.923167   0.0
56       0.112750   0.913656  0.921296   0.0
57       0.114752   0.913887  0.916303   0.0
58       0.116755   0.915717  0.920499   0.0
59       0.118758   0.916529  0.918591   0.0
60       0.120761   0.917262  0.924233   0.0
61       0.122764   0.919174  0.924987   0.0
62       0.124767   0.919450  0.923035   0.0
63       0.126769   0.919065  0.924790   0.0
64       0.128772   0.918706  0.927650   0.0
65       0.130775   0.919403  0.929275   0.0
66       0.132778   0.920050  0.933073   0.0
67       0.134781   0.922140  0.935783   0.0
68       0.136783   0.923326  0.934919   0.0
69       0.138786   0.923991  0.936796   0.0
70       0.140789   0.924515  0.937138   0.0
71       0.142792   0.924137  0.941548   0.0
72       0.144795   0.925664  0.943463   0.0
73       0.146798   0.926191  0.943797   0.0
74       0.148800   0.926300  0.939826   0.0
75       0.150803   0.927454  0.939562   0.0
76       0.152806   0.927281  0.937588   0.0
77       0.154809   0.927394  0.938389   0.0
78       0.156812   0.927683  0.939074   0.0
79       0.158814   0.928655  0.938317   0.0
80       0.160817   0.929938  0.943257   0.0
81       0.162820   0.931000  0.942092   0.0
82       0.164823   0.931684  0.941102   0.0
83       0.166826   0.933954  0.939987   0.0
84       0.168829   0.933425  0.939736   0.0
85       0.170831   0.933680  0.940476   0.0
86       0.172834   0.934414  0.940752   0.0
87       0.174837   0.934614  0.938471   0.0
88       0.176840   0.934284  0.939165   0.0
89       0.178843   0.935259  0.940966   0.0
90       0.180846   0.935456  0.941566   0.0
91       0.182848   0.934796  0.940956   0.0
92       0.184851   0.935679  0.941154   0.0
93       0.186854   0.935969  0.941415   0.0
94       0.188857   0.936477  0.947059   0.0
95       0.190860   0.936737  0.949628   0.0
96       0.192862   0.936644  0.947055   0.0
97       0.194865   0.936824  0.949621   0.0
98       0.196868   0.937161  0.947368   0.0
99       0.198871   0.936994  0.948039   0.0
100      0.200874   0.936922  0.951668   0.0
101      0.202877   0.937213  0.950457   0.0
102      0.204879   0.935840  0.948815   0.0
103      0.206882   0.935795  0.949405   0.0
104      0.208885   0.936888  0.949325   0.0
105      0.210888   0.937616  0.949220   0.0
106      0.212891   0.937446  0.947097   0.0
107      0.214894   0.938281  0.950781   0.0
