    runtime_frac  cross_acc  true_acc         diff
0       0.000233   0.735200  0.732619  4930.956687
1       0.002042   0.847951  0.856523  4239.142089
2       0.003850   0.869225  0.868901  4060.089854
3       0.005658   0.874605  0.882169  3979.032297
4       0.007467   0.885618  0.883973  3954.405255
5       0.009275   0.886591  0.879346  3921.038213
6       0.011083   0.890639  0.891275  3879.189037
7       0.012891   0.892857  0.891847  3833.739121
8       0.014700   0.894809  0.894557  3789.823544
9       0.016508   0.895077  0.893746  3750.766229
10      0.018316   0.896731  0.896611  3716.109248
11      0.020125   0.896499  0.890922  3667.645149
12      0.021933   0.898013  0.901432  3646.135431
13      0.023741   0.898686  0.908260  3617.838991
14      0.025550   0.895563  0.902582  3588.260371
15      0.027358   0.896459  0.907933  3565.378873
16      0.029166   0.896115  0.902097  3535.502893
17      0.030974   0.895931  0.899038  3516.635067
18      0.032783   0.896357  0.903821  3483.508967
19      0.034591   0.894716  0.906894  3460.194670
20      0.036399   0.895782  0.902879  3432.153644
21      0.038208   0.894425  0.908655  3409.416193
22      0.040016   0.897298  0.909097  3370.812728
23      0.041824   0.896868  0.908730  3346.326468
24      0.043633   0.897435  0.907207  3320.876152
25      0.045441   0.897644  0.907966  3304.008482
26      0.047249   0.898590  0.913631  3284.234346
27      0.049057   0.899794  0.907616  3260.628251
28      0.050866   0.899273  0.909618  3243.766466
29      0.052674   0.900632  0.910934  3225.662880
30      0.054482   0.898367  0.907407  3203.344169
31      0.056291   0.897884  0.903917  3192.611921
32      0.058099   0.896672  0.904092  3177.517398
33      0.059907   0.895814  0.898227  3157.196862
34      0.061716   0.898511  0.900781  3136.337303
35      0.063524   0.896354  0.906085  3121.785864
36      0.065332   0.897837  0.903549  3106.364946
37      0.067140   0.896925  0.907407  3092.069245
38      0.068949   0.898752  0.898499  3078.267850
39      0.070757   0.899757  0.898975  3058.610397
40      0.072565   0.901293  0.908635  3047.559433
41      0.074374   0.900953  0.903020  3031.203854
42      0.076182   0.902397  0.900988  3010.211350
43      0.077990   0.902880  0.906085  2990.906813
44      0.079799   0.903665  0.907647  2971.054666
45      0.081607   0.905494  0.908730  2956.963867
46      0.083415   0.905147  0.911376  2941.972120
47      0.085223   0.905768  0.901478  2924.105534
48      0.087032   0.905365  0.901609  2909.190911
49      0.088840   0.906460  0.904755  2894.209820
50      0.090648   0.906455  0.908892  2883.263946
51      0.092457   0.907785  0.903957  2867.879704
52      0.094265   0.909482  0.899471  2850.724611
53      0.096073   0.910445  0.902021  2841.454573
54      0.097882   0.911103  0.899832  2826.846432
55      0.099690   0.912220  0.903703  2809.109766
56      0.101498   0.911606  0.903439  2791.373705
57      0.103306   0.912476  0.903439  2775.192219
58      0.105115   0.912728  0.904762  2760.948932
59      0.106923   0.914272  0.912901  2748.288718
60      0.108731   0.911922  0.915254  2734.639176
61      0.110540   0.914031  0.914959  2721.755277
62      0.112348   0.914564  0.911376  2708.652246
63      0.114156   0.914681  0.915344  2698.953210
64      0.115965   0.916049  0.918822  2684.255261
65      0.117773   0.919061  0.915219  2669.619078
66      0.119581   0.919802  0.914615  2658.578195
67      0.121389   0.921923  0.914226  2644.564323
68      0.123198   0.921751  0.915344  2631.290474
69      0.125006   0.922664  0.916667  2618.965139
70      0.126814   0.923265  0.915344  2609.185342
71      0.128623   0.923285  0.919312  2596.431734
72      0.130431   0.924264  0.921950  2585.047118
73      0.132239   0.924612  0.916537  2575.109497
74      0.134048   0.925329  0.917989  2564.780527
75      0.135856   0.925974  0.914153  2552.967658
76      0.137664   0.926596  0.924477  2546.422525
77      0.139472   0.927664  0.927364  2539.700675
78      0.141281   0.927042  0.916797  2527.540973
79      0.143089   0.928533  0.918372  2513.447278
80      0.144897   0.928564  0.919452  2502.414529
81      0.146706   0.930729  0.923439  2488.279026
82      0.148514   0.931197  0.923394  2477.384381
83      0.150322   0.932456  0.929894  2468.688745
84      0.152131   0.932491  0.927249  2455.486662
85      0.153939   0.933692  0.925926  2446.658507
86      0.155747   0.933756  0.929395  2439.842185
87      0.157555   0.935025  0.928561  2429.739559
88      0.159364   0.934052  0.928181  2420.292721
89      0.161172   0.935315  0.924603  2408.616672
90      0.162980   0.934749  0.932270  2399.315450
91      0.164789   0.935770  0.932540  2392.158233
92      0.166597   0.935656  0.933759  2383.915056
93      0.168405   0.934694  0.931217  2375.463532
94      0.170214   0.938229  0.935059  2366.532896
95      0.172022   0.938363  0.935185  2357.300734
96      0.173830   0.939696  0.933862  2349.244881
97      0.175639   0.940177  0.937831  2342.893231
98      0.177447   0.940647  0.933847  2333.040799
99      0.179255   0.941691  0.931217  2325.082456
