    runtime_frac  cross_acc  true_acc         diff
0       0.012854   0.799290  0.800671  3798.608970
1       0.014792   0.807468  0.815994  3542.460053
2       0.016731   0.815751  0.831123  3294.392858
3       0.018669   0.823022  0.840869  3134.313754
4       0.020608   0.830864  0.849788  3019.054343
5       0.022546   0.837440  0.858210  2923.923793
6       0.024485   0.843838  0.865402  2825.736900
7       0.026423   0.849762  0.871996  2720.016356
8       0.028362   0.855358  0.876478  2621.515838
9       0.030300   0.859912  0.881804  2543.532812
10      0.032239   0.863874  0.886714  2463.988019
11      0.034177   0.867287  0.890490  2374.152711
12      0.036116   0.870929  0.896291  2279.316256
13      0.038054   0.874198  0.900608  2204.591229
14      0.039993   0.877306  0.902859  2134.888123
15      0.041931   0.880208  0.904178  2081.310799
16      0.043869   0.882051  0.904763  2048.172639
17      0.045808   0.883914  0.904025  2019.502295
18      0.047746   0.885485  0.901968  1996.317680
19      0.049685   0.887108  0.900711  1972.528442
20      0.051623   0.889006  0.901171  1945.634368
21      0.053562   0.891024  0.902492  1915.361893
22      0.055500   0.893191  0.905383  1879.054555
23      0.057439   0.894886  0.909716  1853.834830
24      0.059377   0.896061  0.913746  1827.582127
25      0.061316   0.896636  0.917232  1800.803050
26      0.063254   0.897530  0.920133  1769.376769
27      0.065193   0.898927  0.920813  1741.077623
28      0.067131   0.900562  0.920997  1722.490361
29      0.069070   0.902340  0.920607  1707.646032
30      0.071008   0.903813  0.919150  1693.350787
31      0.072946   0.904959  0.919176  1678.935731
32      0.074885   0.906043  0.919301  1667.059492
33      0.076823   0.907291  0.920650  1650.864602
34      0.078762   0.908684  0.923952  1634.356188
35      0.080700   0.909838  0.927819  1618.923959
36      0.082639   0.910611  0.931296  1608.908503
37      0.084577   0.911071  0.933643  1598.097216
38      0.086516   0.911430  0.935445  1589.511520
39      0.088454   0.911790  0.936112  1577.650576
40      0.090393   0.912216  0.935805  1564.275724
41      0.092331   0.913137  0.934204  1548.588966
42      0.094270   0.913840  0.931470  1534.812285
43      0.096208   0.914549  0.928752  1521.010992
44      0.098147   0.915570  0.925632  1510.954039
45      0.100085   0.916418  0.923231  1505.516135
46      0.102023   0.917141  0.921840  1499.344145
47      0.103962   0.917438  0.920926  1493.800691
48      0.105900   0.918228  0.921713  1485.914722
49      0.107839   0.919313  0.922844  1476.170328
50      0.109777   0.920598  0.925048  1464.724412
51      0.111716   0.921702  0.927268  1455.986106
52      0.113654   0.922537  0.928746  1446.281206
53      0.115593   0.923039  0.929591  1434.363882
54      0.117531   0.923193  0.929659  1422.227977
55      0.119470   0.923310  0.929496  1409.097748
56      0.121408   0.923787  0.929816  1394.407674
57      0.123347   0.924326  0.929342  1381.770961
58      0.125285   0.925120  0.928226  1366.644132
59      0.127223   0.925916  0.927260  1347.203671
60      0.129162   0.926856  0.927368  1328.760888
61      0.131100   0.927690  0.928662  1313.131999
62      0.133039   0.928049  0.930807  1296.473453
63      0.134977   0.928072  0.932590  1283.834417
64      0.136916   0.928483  0.933650  1272.301517
65      0.138854   0.928925  0.934468  1259.398128
66      0.140793   0.929556  0.934882  1244.566230
67      0.142731   0.930040  0.934914  1233.035237
68      0.144670   0.930374  0.934747  1223.630373
69      0.146608   0.930432  0.934176  1217.263084
70      0.148547   0.930455  0.932449  1212.458687
71      0.150485   0.930384  0.930397  1208.730005
72      0.152424   0.930194  0.928821  1206.720860
73      0.154362   0.930093  0.928179  1206.851925
74      0.156300   0.930311  0.928629  1207.067711
75      0.158239   0.930600  0.929744  1205.443316
76      0.160177   0.931313  0.932620  1198.546159
77      0.162116   0.931987  0.936301  1188.523318
78      0.164054   0.932698  0.940253  1177.165423
79      0.165993   0.933155  0.943307  1162.070809
80      0.167931   0.933370  0.945378  1147.682974
81      0.169870   0.933307  0.946918  1134.829892
82      0.171808   0.933391  0.947236  1123.657672
83      0.173747   0.933452  0.946021  1117.924784
84      0.175685   0.933523  0.945092  1113.668319
85      0.177624   0.933693  0.943900  1111.816381
86      0.179562   0.934066  0.943051  1111.296430
87      0.181501   0.934499  0.942690  1110.866281
88      0.183439   0.935111  0.942132  1106.692396
89      0.185377   0.935836  0.941903  1098.514038
90      0.187316   0.936758  0.942127  1089.259625
91      0.189254   0.937292  0.942416  1083.481722
92      0.191193   0.937720  0.942220  1078.263640
93      0.193131   0.938225  0.941933  1074.839437
94      0.195070   0.938564  0.941853  1071.784809
95      0.197008   0.938660  0.941881  1070.837899
96      0.198947   0.938568  0.942131  1069.435136
97      0.200885   0.938563  0.943495  1067.302253
98      0.202824   0.938339  0.945489  1066.935061
99      0.204762   0.938168  0.946260  1064.529268
