    runtime_frac  cross_acc  true_acc           diff
0       0.002298   0.791099  0.802179  104053.488467
1       0.003724   0.804945  0.815325  100016.909382
2       0.005151   0.811797  0.821714   96907.420289
3       0.006578   0.817397  0.829112   94098.860699
4       0.008004   0.822227  0.837802   91343.820147
5       0.009431   0.825950  0.840405   89127.945970
6       0.010858   0.830212  0.844817   87020.673300
7       0.012284   0.834644  0.848778   84890.125266
8       0.013711   0.838917  0.849851   82855.989111
9       0.015138   0.844037  0.850670   80794.800529
10      0.016564   0.850550  0.851558   78812.725164
11      0.017991   0.856969  0.852389   77083.725382
12      0.019418   0.862114  0.854510   75536.468546
13      0.020844   0.866144  0.859935   74216.964246
14      0.022271   0.870267  0.867421   72981.405375
15      0.023698   0.874123  0.874355   71714.521787
16      0.025124   0.877794  0.878819   70506.621892
17      0.026551   0.881603  0.880730   69495.213280
18      0.027978   0.885307  0.882847   68549.641383
19      0.029404   0.888995  0.884688   67595.234581
20      0.030831   0.892637  0.886474   66647.728755
21      0.032258   0.895975  0.889573   65731.577598
22      0.033685   0.898865  0.891923   64830.882932
23      0.035111   0.901060  0.893214   64001.875846
24      0.036538   0.902278  0.894246   63230.031161
25      0.037965   0.903382  0.895334   62478.218446
26      0.039391   0.904314  0.896721   61699.092780
27      0.040818   0.905007  0.898168   60852.554509
28      0.042245   0.905208  0.899581   60019.557117
29      0.043671   0.905407  0.901787   59221.318445
30      0.045098   0.905609  0.904594   58452.023282
31      0.046525   0.906082  0.907746   57711.239471
32      0.047951   0.906657  0.910952   56986.440604
33      0.049378   0.907230  0.913655   56268.210082
34      0.050805   0.907470  0.914495   55571.178833
35      0.052231   0.907432  0.914601   54885.559647
36      0.053658   0.907462  0.913331   54226.623062
37      0.055085   0.907540  0.912274   53593.788067
38      0.056511   0.907650  0.912282   52972.596109
39      0.057938   0.907927  0.912549   52358.310869
40      0.059365   0.908021  0.913679   51760.956152
41      0.060791   0.908261  0.914232   51157.438186
42      0.062218   0.908924  0.913793   50328.436022
43      0.063645   0.909709  0.913313   49446.661046
44      0.065071   0.911954  0.912863   48297.804915
45      0.066498   0.914316  0.914563   47162.335555
46      0.067925   0.916572  0.915963   46083.976197
47      0.069351   0.918474  0.916391   45074.936124
48      0.070778   0.920039  0.916623   44137.691660
49      0.072205   0.921494  0.916497   43184.237206
50      0.073631   0.922811  0.916864   42255.075948
51      0.075058   0.924271  0.917380   41468.773180
52      0.076485   0.925884  0.917660   40754.068090
53      0.077911   0.927554  0.918070   40043.128836
54      0.079338   0.929573  0.918479   39364.026962
55      0.080765   0.931735  0.919161   38781.902922
56      0.082192   0.933821  0.919485   38206.903510
57      0.083618   0.935506  0.920138   37694.281712
58      0.085045   0.936736  0.920728   37214.030990
59      0.086472   0.937753  0.920082   36712.880458
60      0.087898   0.938497  0.919787   36228.163382
61      0.089325   0.939055  0.919767   35752.322396
62      0.090752   0.939543  0.920038   35293.790159
63      0.092178   0.940093  0.921426   34835.839995
64      0.093605   0.940608  0.923065   34381.278645
65      0.095032   0.941050  0.924713   33943.460916
66      0.096458   0.941534  0.926290   33506.434800
67      0.097885   0.941871  0.928292   33056.382551
68      0.099312   0.942162  0.929882   32630.125903
69      0.100738   0.942427  0.931300   32229.066149
70      0.102165   0.942620  0.933537   31841.716384
71      0.103592   0.942672  0.935675   31479.800599
72      0.105018   0.942658  0.937343   31138.620286
73      0.106445   0.942770  0.938549   30818.710585
74      0.107872   0.942842  0.939656   30511.939801
75      0.109298   0.942994  0.940860   30207.265815
76      0.110725   0.943231  0.942117   29906.987212
77      0.112152   0.943604  0.943115   29610.351239
78      0.113578   0.943968  0.944101   29319.347514
79      0.115005   0.944327  0.945142   29029.892860
80      0.116432   0.944772  0.945847   28743.955756
81      0.117858   0.945226  0.946553   28459.564737
82      0.119285   0.945645  0.947267   28176.517371
83      0.120712   0.946063  0.947982   27893.387009
84      0.122138   0.946350  0.948820   27628.224833
85      0.123565   0.946687  0.949580   27364.755129
86      0.124992   0.947061  0.950248   27101.407234
87      0.126418   0.947500  0.950471   26841.808948
88      0.127845   0.948195  0.950756   26582.571755
89      0.129272   0.948915  0.950920   26326.494345
90      0.130699   0.949509  0.950967   26071.790490
91      0.132125   0.950053  0.950896   25829.150576
92      0.133552   0.950468  0.950823   25599.706892
93      0.134979   0.950654  0.951183   25373.092153
94      0.136405   0.950830  0.951512   25146.423992
95      0.137832   0.950952  0.951840   24919.287038
96      0.139259   0.951241  0.952168   24693.705263
97      0.140685   0.951531  0.952497   24475.462926
98      0.142112   0.951822  0.952472   24267.825131
99      0.143539   0.952007  0.952381   24071.569921
