    runtime_frac  cross_acc  true_acc         diff
0       0.001403   0.832268  0.830485  4178.064872
1       0.010787   0.888971  0.897389  3869.423334
2       0.020170   0.895543  0.895050  3687.466041
3       0.029554   0.898737  0.906641  3525.280969
4       0.038938   0.899401  0.905517  3378.052954
5       0.048321   0.900848  0.912304  3260.906858
6       0.057705   0.902615  0.903476  3164.548831
7       0.067089   0.901346  0.896825  3059.853818
8       0.076472   0.901775  0.894592  2974.542401
9       0.085856   0.904750  0.895059  2894.453909
10      0.095240   0.907533  0.895428  2814.257364
11      0.104624   0.907538  0.906083  2755.613512
12      0.114007   0.912336  0.912490  2689.661942
13      0.123391   0.916989  0.911376  2630.487630
14      0.132775   0.922804  0.919340  2578.020337
15      0.142158   0.926671  0.920789  2520.822600
16      0.151542   0.928911  0.921248  2470.759850
17      0.160926   0.932152  0.933226  2415.623480
18      0.170309   0.936529  0.942347  2369.838575
19      0.179693   0.939079  0.943132  2322.479689
20      0.189077   0.940198  0.943926  2281.742434
21      0.198461   0.939791  0.935615  2248.284265
22      0.207844   0.941805  0.942168  2208.978155
23      0.217228   0.940782  0.938105  2167.531731
24      0.226612   0.941096  0.939432  2139.916154
25      0.235995   0.941989  0.940048  2105.879094
26      0.245379   0.940950  0.940274  2065.286500
27      0.254763   0.939542  0.939153  2031.082161
28      0.264146   0.939144  0.939669  1992.379372
29      0.273530   0.939407  0.942404  1950.986262
30      0.282914   0.938880  0.937838  1910.925332
31      0.292298   0.939410  0.942795  1880.753907
32      0.301681   0.939026  0.939380  1843.800506
33      0.311065   0.938003  0.940015  1810.641565
34      0.320449   0.936278  0.939096  1776.192228
35      0.329832   0.934463  0.934161  1739.437848
36      0.339216   0.934525  0.938315  1700.367466
37      0.348600   0.935400  0.936508  1665.752194
38      0.357983   0.934545  0.936508  1627.820404
39      0.367367   0.933331  0.933862  1592.009231
40      0.376751   0.934663  0.939417  1554.195016
41      0.386135   0.935125  0.936916  1514.362759
42      0.395518   0.934937  0.933017  1485.188424
43      0.404902   0.935077  0.934683  1451.397282
44      0.414286   0.935645  0.934702  1417.859580
45      0.423669   0.936062  0.932378  1382.200289
46      0.433053   0.935107  0.935185  1347.527341
47      0.442437   0.935601  0.933503  1320.034972
48      0.451820   0.937023  0.937831  1288.687511
49      0.461204   0.937893  0.935627  1257.717729
50      0.470588   0.940115  0.935185  1220.505710
51      0.479972   0.941236  0.935820  1184.060717
52      0.489355   0.945155  0.939153  1149.749214
53      0.498739   0.945670  0.943961  1112.218755
54      0.508123   0.947165  0.942471  1077.354220
55      0.517506   0.948045  0.944964  1045.194212
56      0.526890   0.950332  0.945525  1012.681142
57      0.536274   0.951426  0.947040   980.020157
58      0.545657   0.953424  0.952381   942.788682
59      0.555041   0.954551  0.953701   911.176738
60      0.564425   0.957213  0.952063   880.230173
61      0.573809   0.959016  0.953973   850.099332
62      0.583192   0.959979  0.957006   817.407522
63      0.592576   0.962079  0.961781   786.919979
64      0.601960   0.962839  0.968793   758.299225
65      0.611343   0.964813  0.965608   730.072694
66      0.620727   0.966914  0.970183   701.539031
67      0.630111   0.966442  0.968588   674.493024
68      0.639494   0.967047  0.971532   649.741330
69      0.648878   0.966926  0.976190   621.639915
70      0.658262   0.969132  0.967720   590.883261
71      0.667645   0.970157  0.964212   566.658132
72      0.677029   0.972046  0.968395   539.665908
73      0.686413   0.972912  0.967578   513.923925
74      0.695797   0.973701  0.969106   490.532577
75      0.705180   0.973686  0.972984   472.401584
76      0.714564   0.974286  0.969255   450.479853
77      0.723948   0.975425  0.966592   433.805554
78      0.733331   0.975590  0.966914   410.962515
79      0.742715   0.976466  0.976190   394.010124
80      0.752099   0.977686  0.984028   376.032587
81      0.761482   0.978328  0.984127   360.468243
82      0.770866   0.978943  0.981481   349.172310
83      0.780250   0.980422  0.978228   332.527188
84      0.789634   0.981053  0.979148   318.493234
85      0.799017   0.982688  0.984127   307.360270
86      0.808401   0.985335  0.989418   289.796391
87      0.817785   0.984757  0.989418   278.051507
88      0.827168   0.986463  0.990635   267.581538
89      0.836552   0.987136  0.993386   251.927063
90      0.845936   0.987184  0.991455   239.452240
91      0.855319   0.987523  0.992063   227.491492
92      0.864703   0.987728  0.988408   213.090269
93      0.874087   0.989369  0.985450   199.748958
94      0.883471   0.990894  0.990741   191.673442
95      0.892854   0.989934  0.992063   178.915103
96      0.902238   0.990941  0.987068   167.353251
97      0.911622   0.991015  0.992063   154.124467
98      0.921005   0.992787  0.992063   143.395731
99      0.930389   0.993115  0.990774   130.664496
