    runtime_frac  cross_acc  true_acc         diff
0       0.023310   0.826344  0.836077  2784.129687
1       0.032493   0.851757  0.856962  2370.809942
2       0.041675   0.869905  0.872985  2093.245687
3       0.050858   0.882558  0.885433  1928.172040
4       0.060041   0.893590  0.897801  1797.973781
5       0.069224   0.901297  0.909211  1694.557093
6       0.078406   0.907379  0.915464  1608.287502
7       0.087589   0.913637  0.923628  1495.777081
8       0.096772   0.918192  0.927802  1415.860514
9       0.105954   0.922224  0.925816  1378.990034
10      0.115137   0.926174  0.924275  1331.920624
11      0.124320   0.929507  0.922751  1265.538045
12      0.133502   0.932163  0.923766  1212.931649
13      0.142685   0.934796  0.926357  1164.878203
14      0.151868   0.936271  0.926592  1140.099967
15      0.161050   0.936542  0.929254  1122.166530
16      0.170233   0.938004  0.934811  1097.860328
17      0.179416   0.940150  0.939181  1083.540142
18      0.188599   0.941703  0.940193  1072.482907
19      0.197781   0.942036  0.942393  1061.124804
20      0.206964   0.942699  0.945771  1052.949674
21      0.216147   0.943387  0.945400  1048.703135
22      0.225329   0.943557  0.945242  1043.366753
23      0.234512   0.943899  0.950381  1032.113872
24      0.243695   0.944855  0.953635  1012.526926
25      0.252877   0.945700  0.952157   991.630960
26      0.262060   0.946099  0.952391   975.390745
27      0.271243   0.945794  0.952959   968.010953
28      0.280425   0.945956  0.951004   968.493569
29      0.289608   0.946953  0.949668   966.173094
30      0.298791   0.947958  0.948931   954.643092
31      0.307973   0.948886  0.947013   935.168505
32      0.317156   0.950430  0.944292   921.600765
33      0.326339   0.952242  0.943223   908.999683
34      0.335522   0.952556  0.946653   901.021825
35      0.344704   0.952919  0.948418   893.919246
36      0.353887   0.954531  0.946878   884.398668
37      0.363070   0.955983  0.946473   876.740800
38      0.372252   0.956489  0.947823   862.623040
39      0.381435   0.956854  0.948269   840.824168
40      0.390618   0.957647  0.949116   822.834391
41      0.399800   0.958050  0.951226   812.082402
42      0.408983   0.958476  0.953638   799.793158
43      0.418166   0.958489  0.953939   790.929647
44      0.427348   0.958236  0.951892   785.795783
45      0.436531   0.958639  0.950975   775.286135
46      0.445714   0.960027  0.950682   758.680877
47      0.454896   0.960887  0.952192   747.677600
48      0.464079   0.960312  0.955278   746.530589
49      0.473262   0.959812  0.958058   749.468067
50      0.482445   0.960316  0.959850   750.572779
51      0.491627   0.961279  0.961962   747.124628
52      0.500810   0.961872  0.964564   743.162418
53      0.509993   0.961988  0.965328   736.186947
54      0.519175   0.962357  0.965396   725.683521
55      0.528358   0.962985  0.965965   720.845385
56      0.537541   0.963788  0.966859   718.871017
57      0.546723   0.964215  0.966818   712.560443
58      0.555906   0.964243  0.966119   709.080185
59      0.565089   0.964046  0.964630   705.482444
60      0.574271   0.963993  0.963732   696.420212
61      0.583454   0.964618  0.964404   686.957894
62      0.592637   0.965708  0.964571   685.147252
63      0.601819   0.966626  0.964358   682.578908
64      0.611002   0.966689  0.965067   677.711077
65      0.620185   0.966518  0.966049   680.319980
66      0.629368   0.965986  0.966126   683.139294
67      0.638550   0.965841  0.969343   682.723149
68      0.647733   0.966214  0.974143   680.880792
69      0.656916   0.966330  0.976018   681.162315
70      0.666098   0.966045  0.975092   681.895756
71      0.675281   0.965880  0.974301   682.859620
72      0.684464   0.966604  0.973367   683.238363
73      0.693646   0.967705  0.972910   681.827740
74      0.702829   0.968393  0.972833   683.608765
75      0.712012   0.968558  0.972480   686.169590
76      0.721194   0.968755  0.972902   683.372693
77      0.730377   0.968864  0.973404   681.129527
78      0.739560   0.968680  0.974653   678.511082
79      0.748742   0.968619  0.976485   674.476244
80      0.757925   0.969162  0.977183   667.866309
81      0.767108   0.969490  0.976576   662.033862
82      0.776291   0.969045  0.976309   662.868724
83      0.785473   0.969193  0.975924   664.880614
84      0.794656   0.969632  0.975271   662.909360
85      0.803839   0.969566  0.974082   660.392634
86      0.813021   0.969817  0.974271   658.718573
87      0.822204   0.970829  0.976744   655.851242
88      0.831387   0.971079  0.978439   655.863155
89      0.840569   0.970694  0.979803   657.529356
90      0.849752   0.971007  0.979887   654.875483
91      0.858935   0.971600  0.978484   651.744022
92      0.868117   0.972136  0.976634   650.091592
93      0.877300   0.972979  0.976543   646.271364
94      0.886483   0.973207  0.977416   644.544188
95      0.895665   0.973040  0.977903   642.482782
96      0.904848   0.972839  0.978382   641.097592
97      0.914031   0.972426  0.979429   641.726134
98      0.923214   0.972516  0.979972   639.427970
99      0.932396   0.973166  0.979104   636.961382
