    runtime_frac  cross_acc  true_acc          diff
0       0.016370   0.848757  0.852963  79108.715053
1       0.025980   0.877292  0.880456  69673.441468
2       0.035591   0.895741  0.894978  63046.001312
3       0.045202   0.904062  0.908263  58167.990293
4       0.054812   0.908783  0.913114  53655.950349
5       0.064423   0.912063  0.913960  48866.644040
6       0.074034   0.924130  0.918863  42330.452586
7       0.083645   0.933569  0.922352  37967.181680
8       0.093255   0.939492  0.923727  34632.230824
9       0.102866   0.942818  0.933463  31750.040285
10      0.112477   0.943881  0.942568  29569.750521
11      0.122088   0.946641  0.948752  27684.374165
12      0.131698   0.949830  0.951109  25941.008855
13      0.141309   0.951905  0.951999  24454.332948
14      0.150920   0.952892  0.952518  23133.861579
15      0.160530   0.954169  0.951725  21986.432353
16      0.170141   0.955319  0.951670  20974.856268
17      0.179752   0.956283  0.953149  20086.364475
18      0.189363   0.957490  0.953695  19262.887211
19      0.198973   0.959410  0.954452  18492.890956
20      0.208584   0.961677  0.958035  17766.965103
21      0.218195   0.963100  0.961612  17066.814760
22      0.227806   0.963505  0.963698  16403.772286
23      0.237416   0.963889  0.965251  15784.944862
24      0.247027   0.964724  0.966881  15189.022412
25      0.256638   0.966013  0.968945  14609.983060
26      0.266248   0.967425  0.969753  14052.618035
27      0.275859   0.968448  0.968091  13519.013119
28      0.285470   0.969059  0.967606  13018.284251
29      0.295081   0.969398  0.968069  12538.724265
30      0.304691   0.969766  0.969296  12063.800836
31      0.314302   0.970095  0.972530  11608.436331
32      0.323913   0.970081  0.974471  11176.255623
33      0.333523   0.969698  0.973618  10755.761916
34      0.343134   0.969666  0.973663  10360.667468
35      0.352745   0.970236  0.974594   9970.595978
36      0.362356   0.970995  0.974483   9593.303900
37      0.371966   0.971014  0.973518   9230.741041
38      0.381577   0.971451  0.974156   8885.657718
39      0.391188   0.972001  0.972222   8555.247136
40      0.400799   0.972425  0.973545   8238.053655
41      0.410409   0.972506  0.974362   7933.611355
42      0.420020   0.972448  0.974868   7638.792886
43      0.429631   0.972494  0.974868   7349.617102
44      0.439241   0.972466  0.974868   7073.794362
45      0.448852   0.972840  0.974868   6811.408372
46      0.458463   0.973053  0.974868   6559.673765
47      0.468074   0.973138  0.974868   6313.276055
48      0.477684   0.973174  0.974868   6069.887083
49      0.487295   0.973253  0.974868   5835.056631
50      0.496906   0.973333  0.974868   5603.262730
51      0.506517   0.973341  0.974868   5382.830788
52      0.516127   0.973341  0.974868   5170.246988
53      0.525738   0.973397  0.974868   4961.117216
54      0.535349   0.973443  0.974868   4761.061301
55      0.544959   0.973443  0.974868   4570.350032
56      0.554570   0.973508  0.974868   4382.442983
57      0.564181   0.973545  0.974868   4204.413624
58      0.573792   0.973472  0.974868   4030.752769
59      0.583402   0.973443  0.974868   3862.226398
60      0.593013   0.973443  0.974868   3699.079922
61      0.602624   0.973510  0.974868   3541.899331
62      0.612234   0.973545  0.974868   3384.582653
63      0.621845   0.973545  0.974868   3233.601274
64      0.631456   0.973545  0.974868   3083.614711
65      0.641067   0.973545  0.974868   2938.807773
66      0.650677   0.973545  0.974868   2798.996068
67      0.660288   0.973545  0.974868   2662.070682
68      0.669899   0.973545  0.974868   2527.463162
69      0.679510   0.973545  0.974868   2398.046902
70      0.689120   0.973545  0.974868   2274.710266
71      0.698731   0.973545  0.974868   2156.388707
72      0.708342   0.973545  0.974868   2041.268893
73      0.717952   0.973545  0.974868   1927.250253
74      0.727563   0.973545  0.974868   1815.318631
75      0.737174   0.973545  0.974750   1708.897475
76      0.746785   0.973545  0.974534   1606.285684
77      0.756395   0.973545  0.974318   1507.141479
78      0.766006   0.973545  0.974103   1410.406677
79      0.775617   0.973545  0.973887   1315.862276
80      0.785228   0.973545  0.973672   1223.242260
81      0.794838   0.973545  0.973545   1132.880463
82      0.804449   0.973545  0.973545   1047.814699
83      0.814060   0.973545  0.973545    967.254001
84      0.823670   0.973545  0.973545    888.574422
85      0.833281   0.973545  0.973545    812.380218
86      0.842892   0.973545  0.973545    737.274462
87      0.852503   0.973545  0.973545    664.320844
88      0.862113   0.973545  0.973545    602.261568
89      0.871724   0.973545  0.973545    549.269816
90      0.881335   0.973545  0.973545    502.491077
91      0.890946   0.973545  0.973545    457.449190
92      0.900556   0.973545  0.973545    412.407304
93      0.910167   0.973545  0.973545    369.864018
94      0.919778   0.973545  0.973545    360.780024
95      0.929388   0.973545  0.973545    376.754031
96      0.938999   0.973545  0.973545    398.074149
97      0.948610   0.973545  0.973545    420.467331
98      0.958221   0.973545  0.973545    443.842743
99      0.967831   0.973545  0.973545    467.218156
